open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-01-16 02:00:00,100046.1,100085.9,99868.8,100000.0,692.617,262.732,26274673.2927
2025-01-16 02:15:00,100000.0,100000.1,99660.0,99682.6,1065.933,299.379,29882986.436
2025-01-16 02:30:00,99682.6,99844.1,99519.4,99583.9,1254.716,527.588,52582624.5302
2025-01-16 02:45:00,99583.8,99644.4,99430.1,99595.0,1759.993,967.629,96300511.3693
2025-01-16 03:00:00,99594.9,99810.2,99534.9,99660.8,1117.833,601.739,59978184.7117
2025-01-16 03:15:00,99660.8,99694.9,99464.3,99501.5,1139.72,588.65,58591392.9782
2025-01-16 03:30:00,99501.5,99513.9,99106.8,99421.5,3871.719,1808.839,179642332.2826
2025-01-16 03:45:00,99421.5,99508.9,99329.9,99438.8,1651.578,710.838,70687921.7515
2025-01-16 04:00:00,99438.9,99635.0,99438.8,99586.7,964.809,557.021,55457021.4077
2025-01-16 04:15:00,99586.7,99623.3,99509.2,99568.2,384.965,158.325,15763305.2945
2025-01-16 04:30:00,99568.1,99662.0,99545.5,99558.2,479.696,245.807,24484742.2353
2025-01-16 04:45:00,99558.2,99576.6,99507.0,99573.1,328.736,112.528,11201429.3898
2025-01-16 05:00:00,99573.0,99573.0,99334.0,99334.0,1096.542,320.706,31888774.4951
2025-01-16 05:15:00,99334.0,99522.5,99313.5,99483.9,630.473,396.294,39401469.2642
2025-01-16 05:30:00,99483.8,99582.9,99364.3,99398.1,620.581,274.307,27282994.609
2025-01-16 05:45:00,99398.1,99470.8,99321.4,99345.1,515.351,285.647,28391681.0949
2025-01-16 06:00:00,99345.1,99450.0,99284.2,99425.4,819.974,360.63,35837245.9913
2025-01-16 06:15:00,99425.5,99650.0,99361.3,99650.0,1485.288,1105.972,110027420.7335
2025-01-16 06:30:00,99650.0,99869.2,99648.2,99747.2,2095.503,997.749,99532407.8259
2025-01-16 06:45:00,99747.3,99780.5,99652.4,99749.0,835.162,474.874,47349898.8657
2025-01-16 07:00:00,99749.0,99800.0,99652.1,99714.5,781.313,299.784,29895459.8361
2025-01-16 07:15:00,99714.4,99778.1,99595.7,99680.0,440.518,223.432,22271047.3103
2025-01-16 07:30:00,99679.9,99742.4,99608.7,99713.6,466.612,234.457,23366400.2817
2025-01-16 07:45:00,99713.5,99767.4,99640.3,99756.5,607.32,409.463,40821981.2589
2025-01-16 08:00:00,99756.5,99787.8,99663.8,99752.7,956.582,454.3,45303568.227
2025-01-16 08:15:00,99752.8,99780.0,99348.0,99522.6,1626.897,779.378,77536586.8496
2025-01-16 08:30:00,99522.5,99522.6,98939.3,99004.2,4866.217,1940.198,192343048.5424
2025-01-16 08:45:00,99005.0,99089.8,98557.8,98910.0,6970.539,3236.155,319781831.426
2025-01-16 09:00:00,98909.9,99036.5,98590.0,98806.5,3465.838,1746.542,172565738.4041
2025-01-16 09:15:00,98806.5,98979.9,98680.0,98895.3,1669.311,878.279,86790783.9116
2025-01-16 09:30:00,98895.4,99080.0,98770.0,99033.9,1464.325,918.055,90856254.5653
2025-01-16 09:45:00,99034.1,99278.1,99017.0,99106.1,2231.879,1282.493,127182980.523
2025-01-16 10:00:00,99106.1,99267.3,99066.5,99180.4,942.056,511.841,50754736.4816
2025-01-16 10:15:00,99180.3,99340.4,99116.0,99304.3,1059.126,676.995,67204343.6987
2025-01-16 10:30:00,99304.3,99371.8,99155.9,99177.3,1254.311,336.728,33438068.5328
2025-01-16 10:45:00,99177.2,99268.1,99141.9,99165.0,524.622,237.31,23541347.0568
2025-01-16 11:00:00,99165.1,99300.1,98981.0,99160.6,1919.063,975.77,96759423.1501
2025-01-16 11:15:00,99160.7,99183.6,98680.1,99024.5,3562.407,1675.544,165740459.8086
2025-01-16 11:30:00,99024.5,99155.0,98882.3,99039.0,1011.476,537.075,53185840.974
